City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,bargaal,11.2864,51.0773,299.9,70,97,5.17,SO,1691693382
287,ribeira brava,32.65,-17.0667,301.32,80,0,3.23,PT,1691693382
288,stephenville,32.2207,-98.2023,313.58,29,0,3.6,US,1691693226
289,kayyerkan,69.3786,87.7439,285.54,76,93,11.49,RU,1691693384
290,simanggang,1.2472,111.4528,297.14,100,100,1.03,MY,1691693387
291,kodinar,20.7903,70.7031,299.99,81,100,5.64,IN,1691693387
292,tankara,22.6667,70.7333,300.21,75,100,5.9,IN,1691693387
293,okhotsk,59.3833,143.3,284.8,91,86,2.6,RU,1691693388
294,jinchang,38.4953,102.1739,292.39,77,100,0.82,CN,1691693388
295,hadibu,12.65,54.0333,298.79,80,66,6.63,YE,1691693388
296,port elizabeth,-33.918,25.5701,288.31,88,0,1.03,ZA,1691693389
297,carencro,30.3171,-92.049,310.92,48,75,5.66,US,1691693389
298,puerto rosario,-24.45,-57.0833,310.22,24,0,5.58,PY,1691693389
299,chinde,26.8418,88.0763,292.55,93,100,1.08,NP,1691693389
300,badger,64.8,-147.5333,293.78,94,100,2.06,US,1691693390
301,el matama,16.7095,33.3565,310.0,33,100,4.14,SD,1691693390
302,castillos,-34.1667,-53.8333,291.07,80,100,3.46,UY,1691693390
303,barakani,-12.1356,44.4317,297.62,73,29,5.67,KM,1691693390
304,lyman,48.9884,37.8023,297.12,65,98,3.4,UA,1691693392
305,st. paul,44.9444,-93.0933,300.03,51,0,2.06,US,1691693339
306,dudinka,69.4058,86.1778,285.72,57,61,11.08,RU,1691693392
307,sao tome,0.3365,6.7273,298.04,83,87,3.44,ST,1691693392
308,motueka,-41.1333,173.0167,274.32,82,94,1.93,NZ,1691693392
309,bikenibeu village,1.3673,173.1241,300.13,89,20,0.51,KI,1691693392
310,otjiwarongo,-20.4637,16.6477,289.26,30,15,2.4,NA,1691693393
311,jayapura,-2.5333,140.7,297.81,91,62,2.96,ID,1691693393
312,shuangyang,43.5242,125.6736,293.31,94,100,4.95,CN,1691693394
313,ponta delgada,37.7333,-25.6667,297.55,78,75,4.12,PT,1691693395
314,kajuru,10.3192,7.6892,294.19,95,100,1.32,NG,1691693395
315,posto fiscal rolim de moura,-13.0833,-62.2667,312.59,21,18,1.67,BR,1691693395
316,zarinsk,53.7074,84.9493,290.2,86,100,2.71,RU,1691693396
317,pogradec,40.9025,20.6525,289.15,60,60,1.45,AL,1691693396
318,alice springs,-23.7,133.8833,279.9,61,0,0.0,AU,1691693396
319,vernon,50.2581,-119.2691,296.27,49,86,1.03,CA,1691693396
320,kone,-21.0595,164.8658,286.09,74,0,2.24,NC,1691693397
321,al ghayzah,16.2079,52.176,299.26,87,100,3.65,YE,1691693397
322,progreso de alvaro obregon,20.25,-99.2,301.09,33,47,3.0,MX,1691693397
323,stornoway,58.2093,-6.3865,293.2,81,20,2.57,GB,1691693397
324,ust-tsilma,65.441,52.1498,287.33,71,0,1.55,RU,1691693398
325,medina de rioseco,41.8833,-5.0441,306.17,18,87,0.5,ES,1691693398
326,agat village,13.3886,144.6585,299.67,93,100,2.06,GU,1691693398
327,caycuma,41.4264,32.0756,293.59,96,29,1.65,TR,1691693398
328,kununurra,-15.7667,128.7333,290.14,82,22,1.54,AU,1691693398
329,exu,-7.5119,-39.7242,302.32,38,5,5.31,BR,1691693399
330,strelka,58.0728,93.0344,286.41,89,26,1.32,RU,1691693399
331,kenora,49.8167,-94.4337,288.69,72,100,2.57,CA,1691693256
332,novo aripuana,-5.1206,-60.3797,307.21,41,96,2.4,BR,1691693399
333,lawas,13.764,121.0566,302.03,85,100,5.19,PH,1691693400
334,durant,33.994,-96.3708,311.75,36,0,1.54,US,1691693387
335,tangalle,6.024,80.7911,300.24,89,99,4.1,LK,1691693400
336,nuku'alofa,-21.1333,-175.2,294.34,94,75,2.57,TO,1691693400
337,vorkuta,67.5,64.0,280.78,92,40,3.48,RU,1691693401
338,tezpur,26.6333,92.8,298.98,96,100,1.79,IN,1691693115
339,juneau,58.3019,-134.4197,287.71,100,100,4.63,US,1691693349
340,mamuju,-2.6748,118.8885,298.49,86,100,2.2,ID,1691693402
341,rio verde de mato grosso,-18.9181,-54.8442,310.93,14,0,5.46,BR,1691693402
342,darwin,-12.4611,130.8418,296.14,81,100,1.03,AU,1691693403
343,mermoz boabab,14.7065,-17.4758,303.46,66,40,3.09,SN,1691693403
344,swakopmund,-22.6833,14.5333,287.03,87,60,1.34,NA,1691693404
345,isafjordur,66.0755,-23.124,284.17,58,75,2.57,IS,1691693404
346,arteche,12.2645,125.4048,299.84,82,100,2.82,PH,1691693405
347,nybro,56.7446,15.9071,287.6,85,100,3.5,SE,1691693405
348,rosarito,32.3333,-117.0333,299.22,72,83,3.72,MX,1691693406
349,villa gesell,-37.2639,-56.973,288.74,76,100,5.28,AR,1691693406
350,vernal,40.4555,-109.5287,301.85,27,0,2.68,US,1691693406
351,kalach,50.4258,41.0261,293.94,86,100,8.63,RU,1691693407
352,maturin,9.75,-63.1767,306.06,100,42,3.09,VE,1691693407
353,warrnambool,-38.3833,142.4833,283.84,76,100,4.54,AU,1691693407
354,blenheim,-41.516,173.9528,271.77,92,9,2.73,NZ,1691693408
355,siniscola,40.5719,9.6922,298.9,69,66,1.86,IT,1691693408
356,melfi,40.9965,15.6514,296.46,51,34,1.11,IT,1691693408
357,nha trang,12.25,109.1833,303.15,81,2,2.0,VN,1691693409
358,flying fish cove,-10.4217,105.6791,296.97,88,100,4.63,CX,1691693409
359,saipan,15.1355,145.701,300.54,100,20,3.09,MP,1691693208
360,labrador city,52.9463,-66.9114,289.1,77,75,3.6,CA,1691693409
